B04,B03,B02,B8A,label
0.0199,0.0355,0.0176,0.3653,2
0.0246,0.0373,0.0198,0.3431,2
0.0215,0.0351,0.0179,0.3509,2
0.0181,0.0312,0.0154,0.3618,2
0.0229,0.0374,0.019,0.3766,2
0.0266,0.05,0.0239,0.4654,2
0.0225,0.0439,0.0212,0.4212,2
0.0216,0.039,0.0188,0.3684,2
0.0186,0.0316,0.0161,0.3429,2
0.0192,0.0329,0.017,0.3542,2
0.0191,0.0327,0.0176,0.3481,2
0.0194,0.0328,0.0177,0.3525,2
0.027,0.0408,0.0224,0.3999,2
0.0202,0.0363,0.018,0.3914,2
0.0205,0.0353,0.0181,0.3736,2
0.0189,0.0347,0.017,0.3975,2
0.019,0.0374,0.0176,0.4376,2
0.0196,0.038,0.0185,0.4482,2
0.0194,0.0354,0.0177,0.3893,2
0.0185,0.0332,0.0169,0.3833,2
0.0236,0.037,0.0197,0.3761,2
0.0248,0.0377,0.0205,0.359,2
0.0205,0.0352,0.0172,0.3571,2
0.0206,0.035,0.0176,0.3552,2
0.0194,0.0332,0.0165,0.3586,2
0.0176,0.0325,0.016,0.3598,2
0.0189,0.0353,0.0178,0.377,2
0.0201,0.0353,0.0187,0.3727,2
0.0259,0.0452,0.0219,0.4213,2
0.0207,0.0422,0.0197,0.4337,2
0.0194,0.0335,0.0176,0.3638,2
0.0177,0.0317,0.0164,0.3608,2
0.0192,0.032,0.0169,0.3468,2
0.019,0.0328,0.0172,0.346,2
0.0205,0.0344,0.0185,0.3608,2
0.0221,0.0412,0.0207,0.4125,2
0.0224,0.0385,0.0206,0.3825,2
0.0254,0.0398,0.0215,0.3694,2
0.0202,0.0372,0.0186,0.3916,2
0.0209,0.0394,0.0196,0.4243,2
0.0203,0.039,0.0188,0.4409,2
0.0195,0.0355,0.018,0.3799,2
0.0199,0.0353,0.0185,0.3726,2
0.0251,0.0395,0.0208,0.3703,2
0.0342,0.0546,0.0271,0.451,2
0.0245,0.0431,0.0207,0.43,2
0.0201,0.0346,0.0171,0.3641,2
0.0194,0.0337,0.0169,0.3471,2
0.0189,0.0327,0.0164,0.3645,2
0.0196,0.0336,0.0171,0.3589,2
0.0195,0.0386,0.0187,0.3907,2
0.0194,0.0373,0.0186,0.3659,2
0.0202,0.0345,0.0185,0.3394,2
0.021,0.0351,0.0185,0.3498,2
0.0196,0.0366,0.0185,0.4034,2
0.0197,0.0343,0.0178,0.364,2
0.024,0.0377,0.0212,0.3719,2
0.0479,0.0558,0.0347,0.3485,2
0.0253,0.0374,0.0209,0.3525,2
0.0191,0.0337,0.0176,0.36,2
0.0187,0.0312,0.0159,0.3532,2
0.0193,0.0328,0.0173,0.3511,2
0.0225,0.038,0.0195,0.3739,2
0.0215,0.0411,0.0207,0.4108,2
0.0204,0.0367,0.0193,0.3605,2
0.0217,0.0371,0.0208,0.3435,2
0.0266,0.0417,0.0222,0.3746,2
0.0253,0.0439,0.0218,0.43,2
0.0215,0.0394,0.0188,0.404,2
0.0195,0.0355,0.0177,0.375,2
0.0212,0.037,0.0185,0.3773,2
0.0312,0.044,0.0246,0.3692,2
0.0228,0.037,0.0195,0.3661,2
0.0203,0.0367,0.0188,0.3855,2
0.0238,0.047,0.0217,0.477,2
0.0258,0.0415,0.0203,0.3816,2
0.0193,0.0328,0.0169,0.3487,2
0.0186,0.0335,0.0168,0.3585,2
0.0194,0.0383,0.0177,0.3924,2
0.0193,0.037,0.0187,0.3777,2
0.0199,0.0361,0.0182,0.3494,2
0.0205,0.0348,0.0184,0.3328,2
0.0201,0.0347,0.0184,0.3492,2
0.0197,0.0345,0.0185,0.3452,2
0.0215,0.039,0.0192,0.4118,2
0.0203,0.0408,0.02,0.478,2
0.0187,0.0347,0.0182,0.3843,2
0.0272,0.0391,0.0219,0.3694,2
0.0589,0.0621,0.041,0.3219,2
0.0539,0.058,0.0382,0.3254,2
0.0219,0.0347,0.0188,0.3512,2
0.019,0.0316,0.0167,0.3599,2
0.0217,0.0416,0.0214,0.4249,2
0.021,0.0389,0.0194,0.3923,2
0.0206,0.0365,0.0204,0.3314,2
0.0207,0.0358,0.0195,0.3509,2
0.0206,0.0365,0.0198,0.3622,2
0.0219,0.0397,0.021,0.374,2
0.0324,0.0483,0.0263,0.3673,2
0.0218,0.0377,0.0193,0.3667,2
0.0274,0.0407,0.0223,0.3839,2
